gcid,Category
beauty_products_wholesaler,Beauty products wholesaler
beauty_salon,Beauty salon
beauty_school,Beauty school
beauty_supply_store,Beauty supply store
bed_and_breakfast,Bed & breakfast
bed_shop,Bed shop
bedding_store,Bedding store
bedroom_furniture_store,Bedroom furniture store
beef_rice_bowl_restaurant,Gyudon restaurant
beer_distributor,Beer distributor
beer_garden,Beer garden
beer_hall,Beer hall
beer_store,Beer store
belgian_restaurant,Belgian restaurant
belt_shop,Belt shop
bengali_restaurant,Bengali restaurant
bentley_dealer,Bentley dealer
berry_restaurant,Berry restaurant
berufsfachschule,Berufsfachschule (vocational school with apprenticeship)
betawi_restaurant,Betawi restaurant
betting_agency,Betting agency
beverage_distributor,Beverage distributor
bicycle_club,Bicycle club
bicycle_rack,Bicycle rack
bicycle_rental_service,Bicycle rental service
bicycle_repair_shop,Bicycle repair shop
bicycle_store,Bicycle store
bicycle_wholesale,Bicycle wholesaler
bike_wash,Bike wash
bikram_yoga_studio,Bikram yoga studio
bilingual_school,Bilingual school
billiards_supply_store,Billiards supply store
bingo_hall,Bingo hall
biochemical_supplier,Biochemical supplier
biochemistry_lab,Biochemistry lab
biofeedback_therapist,Biofeedback therapist
biotechnology_company,Biotechnology company
biotechnology_engineer,Biotechnology engineer
bird_control_service,Bird control service
bird_shop,Bird shop
bird_watching_area,Bird watching area
birth_center,Birth center
birth_certificate_service,Birth certificate service
birth_control_center,Birth control center
biryani_restaurant,Biryani restaurant
bistro,Bistro
blacksmith,Blacksmith
blast_cleaning_service,Blast cleaning service
blind_school,Blind school
blinds_shop,Blinds shop
blood_bank,Blood bank
blood_donation_center,Blood donation center
blood_testing_service,Blood testing service
blueprint_service,Blueprint service
blues_club,Blues club
bmw_dealer,BMW dealer
bmw_motorcycle_dealer,BMW motorcycle dealer
bmx_club,BMX club
bmx_park,BMX park
bmx_track,BMX track
board_game_club,Board game club
board_of_education,Board of education
boarding_house,Boarding house
boarding_school,Boarding school
boat_accessories_supplier,Boat accessories supplier
boat_builder,Boat builders
boat_club,Boat club
boat_cover_supplier,Boat cover supplier
boat_dealer,Boat dealer
boat_ramp,Boat ramp
boat_rental_service,Boat rental service
boat_repair_shop,Boat repair shop
boat_storage_facility,Boat storage facility
boat_tour_agency,Boat tour agency
boat_trailer_dealer,Boat trailer dealer
boating_instructor,Boating instructor
bocce_ball_court,Bocce ball court
body_piercing_shop,Body piercing shop
body_shaping_class,Body shaping class
boiler_manufacturer,Boiler manufacturer
boiler_supplier,Boiler supplier
