gcid,Category
honduran_restaurant,Honduran restaurant
honey_farm,Honey farm
hong_kong_style_cafe,Cha chaan teng (Hong Kong-style cafe)
hong_kong_style_fast_food_restaurant,Hong Kong style fast food restaurant
hookah_bar,Hookah bar
hookah_store,Hookah store
horse_boarding_stable,Horse boarding stable
horse_breeder,Horse breeder
horse_rental_service,Horse rental service
horse_riding_field,Horse riding field
horse_riding_school,Horse riding school
horse_trailer_dealer,Horse trailer dealer
horse_trainer,Horse trainer
horseback_riding_service,Horseback riding service
horsebox_specialist,Horse transport supplier
horseshoe_smith,Horseshoe smith
horsestable_studfarm,Horsestable studfarm
hose_supplier,Hose supplier
hospice,Hospice
hospital,Hospital
hospital_and_equipment_supplies,Hospital equipment and supplies
hospital_department,Hospital department
hospitality_and_tourism_school,Hospitality and tourism school
hospitality_high_school,Hospitality high school
host_club,Host club
hostel,Hostel
hot_bedstone_spa,Hot bedstone spa
hot_dog_restaurant,Hot dog restaurant
hot_dog_stand,Hot dog stand
hot_pot_restaurant,Hot pot restaurant
hot_spring_hotel,Hot spring hotel
hot_tub_repair_service,Hot tub repair service
hot_tub_store,Hot tub store
hot_water_system_supplier,Hot water system supplier
hotel,Hotel
hotel_management_school,Hotel management school
hotel_supply_store,Hotel supply store
house_cleaning_service,House cleaning service
house_clearance_service,House clearance service
house_sitter,House sitter
house_sitter_agency,House sitter agency
houseboat_rental_service,Houseboat rental service
household_chemicals_supplier,Household chemicals supplier
household_goods_wholesaler,Household goods wholesaler
housing_association,Housing association
housing_authority,Housing authority
housing_complex,Housing complex
housing_cooperative,Housing cooperative
housing_development,Housing development
housing_society,Housing society
housing_utility_company,Housing utility company
hua_gong_shop,Hua gong shop
hua_niao_market_place,Hua niao market place
hub_cap_supplier,Hub cap supplier
human_ressource_consulting,Human resource consulting
hunan_style_restaurant,Hunan restaurant
hungarian_restaurant,Hungarian restaurant
hunting_and_fishing_store,Hunting and fishing store
hunting_area,Hunting area
hunting_club,Hunting club
hunting_preserve,Hunting preserve
hunting_store,Hunting store
hvac_contractor,HVAC contractor
hyderabadi_restaurant,Hyderabadi restaurant
hydraulic_engineer,Hydraulic engineer
hydraulic_equipment_supplier,Hydraulic equipment supplier
hydraulic_repair_service,Hydraulic repair service
hydroelectric_power_plant,Hydroelectric power plant
hydroponics_equipment_supplier,Hydroponics equipment supplier
hygiene_articles_wholesaler,Hygiene articles wholesaler
hygiene_station,Hygiene station
hyperbaric_medicine_physician,Hyperbaric medicine physician
hypermarket,Hypermarket
hypnotherapy_service,Hypnotherapy service
hyundai_dealer,Hyundai dealer
ice_cream_equipment_supplier,Ice cream equipment supplier
ice_cream_shop,Ice cream shop
ice_hockey_club,Ice hockey club
ice_skating_club,Ice skating club
ice_skating_instructor,Ice skating instructor
ice_skating_rink,Ice skating rink
ice_supplier,Ice supplier
icelandic_restaurant,Icelandic restaurant
icse_school,ICSE school
idol_manufacturer,Idol manufacturer
ikan_bakar_restaurant,Ikan bakar restaurant
image_consultant,Image consultant
imax_theater,IMAX theater
immigration_and_naturalization_service,Immigration & naturalization service
immigration_attorney,Immigration attorney
immigration_detention_center,Immigration detention centre
immunologist,Immunologist
impermeabilization_service,Impermeabilization service
import_export_company,Import export company
importer,Importer
incense_supplier,Incense supplier
incineration_plant,Incineration plant
income_protection_insurance,Income protection insurance agency
income_tax_help_association,Income tax help association
indian_grocery_store,Indian grocery store
indian_motorcycle_dealer,Indian Motorcycle dealer
indian_muslim_restaurant,Indian Muslim restaurant
indian_restaurant,Indian restaurant
indian_sizzler_restaurant,Indian sizzler restaurant
indian_sweets_shop,Indian sweets shop
indian_takeaway,Indian takeaway
indonesian_restaurant,Indonesian restaurant
indoor_cycling,Indoor cycling
indoor_golf_course,Indoor golf course
indoor_playground,Indoor playground
indoor_snowcenter,Indoor snowcenter
indoor_swimming_pool,Indoor swimming pool
industrial_chemicals_wholesaler,Industrial chemicals wholesaler
industrial_consultant,Industrial consultant
industrial_design_company,Industrial design company
industrial_door_supplier,Industrial door supplier
industrial_engineer,Industrial engineer
industrial_engineers_association,Industrial engineers association
industrial_equipment_supplier,Industrial equipment supplier
industrial_framework_supplier,Industrial framework supplier
industrial_gas_supplier,Industrial gas supplier
industrial_real_estate_agency,Industrial real estate agency
industrial_supermarket,Industrial supermarket
industrial_technical_engineers_association,Industrial technical engineers association
industrial_vacuum_equipment_supplier,Industrial vacuum equipment supplier
infectious_disease_physician,Infectious disease physician
infiniti_dealer,Infiniti dealer
information_bureau,Information bureau
information_services,Information services
inn,Inn
insolvency_service,Insolvency service
institute_of_geography_and_statistics,Institute of Geography and Statistics
instrumentation_engineer,Instrumentation engineer
insulation_contractor,Insulation contractor
insulation_materials_store,Insulation materials store
insulator_supplier,Insulator supplier
insurance_agency,Insurance agency
insurance_attorney,Insurance attorney
insurance_broker,Insurance broker
insurance_company,Insurance company
insurance_school,Insurance school
intellectual_property_registry,Intellectual property registry
intensivist,Intensivist
interior_architect_office,Interior architect office
interior_construction_contractor,Interior construction contractor
interior_decorator,Interior Decorator
interior_designer,Interior designer
interior_door,Interior door shop
interior_fitting_contractor,Interior fitting contractor
interior_plant_service,Interior plant service
internal_medicine_ward,Internal medicine ward
international_airport,International airport
international_school,International school
international_trade_consultant,International trade consultant
internet_cafe,Internet cafe
internet_marketing_service,Internet marketing service
internet_service_provider,Internet service provider
internet_shop,Internet shop
internist,Internist
investment_bank,Investment bank
investment_company,Investment company
investment_service,Investment service
invitation_printing_service,Invitation printing service
irish_goods_store,Irish goods store
irish_pub,Irish pub
irish_restaurant,Irish restaurant
iron_steel_contractor,Iron steel contractor
iron_ware_dealer,Iron ware dealer
iron_works,Iron works
irrigation_equipment_supplier,Irrigation equipment supplier
israeli_restaurant,Israeli restaurant
isuzu_dealer,Isuzu dealer
italian_grocery_store,Italian grocery store
italian_restaurant,Italian restaurant
iut,Institute of technology
jaguar_dealer,Jaguar dealer
jain_temple,Jain temple
jamaican_restaurant,Jamaican restaurant
janitorial_equipment_supplier,Janitorial equipment supplier
janitorial_service,Janitorial service
japanese_authentic_restaurant,Authentic Japanese restaurant
japanese_cheap_sweets_shop,Japanese cheap sweets shop
japanese_confectionery_shop,Japanese confectionery shop
japanese_curry_restaurant,Japanese curry restaurant
japanese_delicatessen,Japanese delicatessen
japanese_grocery_store,Japanese grocery store
japanese_high_quality_restaurant,Ryotei restaurant
japanese_izakaya_restaurant,Izakaya restaurant
japanese_language_instructor,Japanese language instructor
japanese_regional_restaurant,Japanese regional restaurant
japanese_restaurant,Japanese restaurant
japanese_steakhouse,Japanese steakhouse
japanese_sweets_restaurant,Japanese sweets restaurant
japanized_western_food_restaurant,Japanized western restaurant
javanese_restaurant,Javanese restaurant
jazz_club,Jazz club
jeep_dealer,Jeep dealer
jehovahs_witness_church,Jehovah's Witness Kingdom Hall
jeweler,Jeweler
jewelry_appraiser,Jewelry appraiser
jewelry_buyer,Jewelry buyer
jewelry_designer,Jewelry designer
jewelry_engraver,Jewelry engraver
jewelry_equipment_supplier,Jewelry equipment supplier
jewelry_exporter,Jewelry exporter
jewelry_manufacturer,Jewelry manufacturer
jewelry_repair_service,Jewelry repair service
jewelry_store,Jewelry store
jewish_restaurant,Jewish restaurant
jiang_su_restaurant,Jiangsu restaurant
joiner,Joiner
judicial_auction,Judicial auction
judicial_scrivener,Judicial scrivener
judo_club,Judo club
judo_school,Judo school
juice_shop,Juice shop
jujitsu_school,Jujitsu school
junior_college,Junior college
junk_dealer,Junk dealer
junk_store,Junk store
junkyard,Junkyard
justice_department,Justice department
jute_exporter,Jute exporter
jute_mill,Jute mill
juvenile_detention_center,Juvenile detention center
kabaddi_club,Kabaddi club
kaiseki_restaurant,Kaiseki restaurant
kalle_pache_restaurant,Kalle pache restaurant
karaoke,Karaoke
karaoke_bar,Karaoke bar
karaoke_equipment_rental_service,Karaoke equipment rental service
karate_club,Karate club
karate_school,Karate school
karma_dealer,Karma dealer
karnataka_restaurant,Karnataka restaurant
kashmiri_restaurant,Kashmiri restaurant
kawasaki_motorcycle_dealer,Kawasaki motorcycle dealer
kazakhstani_restaurant,Kazakhstani restaurant
kebab_shop,Kebab shop
kennel,Kennel
kerala_restaurant,Kerala restaurant
kerosene_supplier,Kerosene supplier
key_duplication_service,Key duplication service
kia_dealer,Kia dealer
kickboxing_school,Kickboxing school
kilt_shop_and_hire,Kilt shop and hire
kimono_store,Kimono store
kindergarten,Kindergarten
kinesiologist,Kinesiologist
kinesiotherapist,Kinesiotherapist
kiosk,Kiosk
kitchen_furniture_store,Kitchen furniture store
kitchen_remodeler,Kitchen remodeler
kitchen_supply_store,Kitchen supply store
kite_shop,Kite shop
knife_manufacturing,Knife manufacturing
knife_store,Knife store
knit_shop,Knit shop
knitting_instructor,Knitting instructor
knitwear_manufacturer,Knitwear manufacturer
kofta_restaurant,Kofta restaurant
konkani_restaurant,Konkani restaurant
korean_barbecue_restaurant,Korean barbecue restaurant
korean_beef_restaurant,Korean beef restaurant
korean_church,Korean church
korean_grocery_store,Korean grocery store
korean_restaurant,Korean restaurant
korean_rib_restaurant,Korean rib restaurant
koshari_restaurant,Koshari restaurant
kosher_grocery_store,Kosher grocery store
kosher_restaurant,Kosher restaurant
kung_fu_school,Kung fu school
kushiyaki_restaurant,Kushiyaki restaurant
kyoto_cuisine_restaurant,Kyoto style Japanese restaurant
labor_relations_attorney,Labor relations attorney
labor_union,Labor union
laboratory,Laboratory
laboratory_equipment_supplier,Laboratory equipment supplier
ladder_supplier,Ladder supplier
lamborghini_dealer,Lamborghini dealer
laminating_equipment_supplier,Laminating equipment supplier
lamination_service,Lamination service
lamp_repair_service,Lamp repair service
lamp_shade_supplier,Lamp shade supplier
lancia_dealer,Lancia dealer
land_allotment,Land allotment
land_planning_authority,Land planning authority
land_reform_institute,Land reform institute
land_rover_dealer,Land Rover dealer
land_surveying_office,Land surveying office
land_surveyor,Land surveyor
landscape_architect,Landscape architect
landscape_designer,Landscape designer
landscape_lighting_designer,Landscape lighting designer
landscaper,Landscaper
landscaping_supply_store,Landscaping supply store
language_school,Language school
laotian_restaurant,Laotian restaurant
lapidary,Lapidary
laser_cutting_service,Laser cutting service
laser_equipment_supplier,Laser equipment supplier
laser_hair_removal_service,Laser hair removal service
laser_tag_center,Laser tag center
lasik_surgeon,Lasik surgeon
latin_american_restaurant,Latin American restaurant
laundromat,Laundromat
laundry,Laundry
laundry_service,Laundry service
law_book_store,Law book store
law_firm,Law firm
law_library,Law library
law_school,Law school
lawn_bowls_club,Lawn bowls club
lawn_care_service,Lawn care service
lawn_equipment_rental_service,Lawn equipment rental service
lawn_irrigation_equipment_supplier,Lawn irrigation equipment supplier
lawn_mower_repair_service,Lawn mower repair service
lawn_mower_store,Lawn mower store
lawn_sprinkler_system_contractor,Lawn sprinkler system contractor
lawyer,Lawyer
lawyers_association,Lawyers association
leagues_club,Leagues club
learner_driver_training_area,Learner driver training area
learning_center,Learning center
leasing_service,Leasing service
leather_cleaning_service,Leather cleaning service
leather_coats_store,Leather coats store
leather_exporter,Leather exporter
leather_goods_manufacturer,Leather goods manufacturer
leather_goods_store,Leather goods store
leather_goods_supplier,Leather goods supplier
leather_goods_wholesaler,Leather goods wholesaler
leather_repair_service,Leather repair service
leather_wholesaler,Leather wholesaler
lebanese_restaurant,Lebanese restaurant
lechon_restaurant,Lechon restaurant
legal_affairs_bureau,Legal affairs bureau
legal_aid_office,Legal aid office
legal_services,Legal services
leisurecentre,Leisure centre
lexus_dealer,Lexus dealer
library,Library
license_bureau,License bureau
license_plate_frames_supplier,License plate frames supplier
lido,Lido
life_coach,Life coach
life_insurance_agency,Life insurance agency
light_bulb_supplier,Light bulb supplier
lighting_consultant,Lighting consultant
lighting_contractor,Lighting contractor
lighting_manufacturer,Lighting manufacturer
lighting_store,Lighting store
lighting_wholesaler,Lighting wholesaler
ligurian_restaurant,Ligurian restaurant
limousine_service,Limousine service
lincoln_mercury_dealer,Lincoln dealer
line_marking_service,Line marking service
linens_store,Linens store
lingerie_manufacturer,Lingerie manufacturer
lingerie_store,Lingerie store
lingerie_wholesaler,Lingerie wholesaler
linoleum_store,Linoleum store
liquidator,Liquidator
liquor_store,Liquor store
liquor_wholesaler,Liquor wholesaler
literacy_program,Literacy program
lithuanian_restaurant,Lithuanian restaurant
little_league_club,Little league club
little_league_field,Little league field
live_music_bar,Live music bar
live_music_venue,Live music venue
livery_company,Livery company
livestock_auction_house,Livestock auction house
livestock_breeder,Livestock breeder
livestock_dealer,Livestock dealer
livestock_producer,Livestock producer
loan_agency,Loan agency
local_government_office,Local government office
local_history_museum,Local history museum
local_medical_services,Local medical services
lock_store,Lock Store
locks_supplier,Locks supplier
locksmith,Locksmith
lodge,Lodge
lodging,Lodging
log_cabins,Log cabins
log_home_builder,Log home builder
logging_contractor,Logging contractor
logistics_service,Logistics service
lombardian_restaurant,Lombardian restaurant
loss_adjuster,Loss adjuster
lost_property_office,Lost property office
lottery_retailer,Lottery retailer
lottery_shop,Lottery shop
lounge,Lounge
love_hotel,Love hotel
low_emission_zone,Low emission zone
low_income_housing_program,Low income housing program
lpg_conversion,LPG conversion
luggage_repair_service,Luggage repair service
luggage_storage_facility,Luggage storage facility
luggage_store,Luggage store
luggage_wholesaler,Luggage wholesaler
lumber_store,Lumber store
lunch_restaurant,Lunch restaurant
lutheran_church,Lutheran church
lyceum,Lyceum
lymph_drainage,Lymph drainage therapist
machine_construction,Machine construction
machine_knife_supplier,Machine knife supplier
machine_maintenance,Machine maintenance
machine_repair_service,Machine repair service
machine_shop,Machine shop
machine_workshop,Machine workshop
machinery_parts_manufacturer,Machinery parts manufacturer
machining_manufacturer,Machining manufacturer
macrobiotic_restaurant,Macrobiotic restaurant
madrilian_restaurant,Madrilian restaurant
magazine_store,Magazine store
magic_store,Magic store
magician,Magician
mah_jong_house,Mahjong house
mailbox_rental_service,Mailbox rental service
mailbox_supplier,Mailbox supplier
mailing_machine_supplier,Mailing machine supplier
mailing_service,Mailing service
main_customs_office,Main customs office
majorcan_restaurant,Majorcan restaurant
makerspace,Makerspace
makeup_artist,Make-up artist
malaysian_restaurant,Malaysian restaurant
maltese_restaurant,Maltese restaurant
mammography_service,Mammography service
manado_restaurant,Manado restaurant
management_school,Management school
mandarin_restaurant,Mandarin restaurant
manor_house,Manor house
manufactured_home_transporter,Manufactured home transporter
manufacturer,Manufacturer
maori_organization,Maori organization
map_store,Map store
mapping_service,Mapping service
marae,Marae
marathi_restaurant,Marathi restaurant
marble_contractor,Marble contractor
marble_supplier,Marble supplier
marche_restaurant,Marche restaurant
marina,Marina
marine_engineer,Marine engineer
marine_self_defense_force,Marine self defense force
marine_supply_store,Marine supply store
marine_surveyor,Marine surveyor
maritime_museum,Maritime museum
market,Market
market_researcher,Market researcher
marketing_agency,Marketing agency
marketing_consultant,Marketing consultant
markmens_clubhouse,Markmens clubhouse
marquee_hire,Marquee hire service
marriage_celebrant,Marriage celebrant
marriage_counselor,Marriage or relationship counselor
marriage_license_bureau,Marriage license bureau
martial_arts_club,Martial arts club
martial_arts_school,Martial arts school
martial_arts_supply_store,Martial arts supply store
maserati_dealer,Maserati dealer
masonic_building,Masonic center
masonry_contractor,Masonry contractor
masonry_supply_store,Masonry supply store
massage_school,Massage school
massage_spa,Massage spa
massage_supply_store,Massage supply store
massage_therapist,Massage therapist
match_box_manufacturer,Match box manufacturer
material_handling_equipment_supplier,Material handling equipment supplier
maternity_hospital,Maternity hospital
maternity_store,Maternity store
mathematics_school,Mathematics school
mattress_store,Mattress store
mausoleum_builder,Mausoleum builder
maybach_dealer,Maybach dealer
mazda_dealer,Mazda dealer
mclaren_dealer,McLaren dealer
meal_delivery,Meal delivery
meal_takeaway,Takeout restaurant
measuring_instruments_supplier,Measuring instruments supplier
meat_packer,Meat packer
meat_processor,Meat processor
meat_products,Meat products store
meat_restaurant,Meat dish restaurant
meat_wholesaler,Meat wholesaler
mechanic,Mechanic
mechanical_contractor,Mechanical contractor
mechanical_engineer,Mechanical engineer
mechanical_plant,Mechanical plant
media_and_information_sciences_faculty,Media and information sciences faculty
media_company,Media company
media_consultant,Media consultant
media_house,Media house
mediation_service,Mediation service
medical_billing_service,Medical billing service
medical_book_store,Medical book store
medical_center,Medical Center
medical_certificate_service,Medical certificate service
medical_clinic,Medical clinic
medical_diagnostic_imaging_center,Medical diagnostic imaging center
medical_equipment_manufacturer,Medical equipment manufacturer
medical_equipment_supplier,Medical equipment supplier
medical_examiner,Medical examiner
medical_group,Medical group
medical_lab,Medical laboratory
medical_lawyer,Medical lawyer
medical_office,Medical office
medical_school,Medical school
medical_spa,Medical spa
medical_supply_store,Medical supply store
medical_technology_manufacturer,Medical technology manufacturer
medical_transcription_service,Medical transcription service
medicine_exporter,Medicine exporter
meditation_center,Meditation center
meditation_instructor,Meditation instructor
mediterranean_restaurant,Mediterranean restaurant
meeting_planning_service,Meeting planning service
mehandi_class,Mehandi class
mehndi_designer,Mehndi designer
memorial,Memorial
memorial_estate,Memorial estate
memorial_park,Memorial park
mennonite_church,Mennonite church
mens_clothing_store,Men's clothing store
mens_health_physician,Men's health physician
mens_tailor,Mens tailor
mental_health_clinic,Mental health clinic
mental_health_service,Mental health service
mercantile_development,Mercantile development
mercedes_benz_dealer,Mercedes-Benz dealer
messianic_synagogue,Messianic synagogue
metal_construction_company,Metal construction company
metal_detecting_equipment_supplier,Metal detecting equipment supplier
metal_fabricator,Metal fabricator
metal_finisher,Metal finisher
metal_heat_treating_service,Metal heat treating service
metal_industry_suppliers,Metal industry suppliers
metal_machinery_supplier,Metal machinery supplier
metal_polishing_service,Metal polishing service
metal_processing_company,Metal processing company
metal_stamping_service,Metal stamping service
metal_supplier,Metal supplier
metal_working_shop,Metal working shop
metal_workshop,Metal workshop
metallurgy_company,Metallurgy company
metalware_dealer,Metalware dealer
metalware_producer,Metalware producer
metaphysical_supply_store,Metaphysical supply store
methodist_church,Methodist church
metropolitan_train_company,Metropolitan train company
mexican_goods_store,Mexican goods store
mexican_grocery_store,Mexican grocery store
mexican_restaurant,Mexican restaurant
mexican_torta_restaurant,Mexican torta restaurant
meyhane,Meyhane
mg_dealer,MG dealer
microbiologist,Microbiologist
microwave_oven_repair_service,Microwave oven repair service
mid_atlantic_us_restaurant,Mid-Atlantic restaurant (US)
middle_eastern_restaurant,Middle Eastern restaurant
middle_school,Middle school
midwife,Midwife
militar_archive,Military archive
militar_residence,Military residence
military_barrack,Military barracks
military_base,Military base
military_board,Military board
military_cemetery,Military cemetery
military_hospital,Military hospital
military_recruiting_office,Military recruiting office
military_school,Military school
military_town,Military town
milk_delivery_service,Milk delivery service
mill,Mill
millwork_shop,Millwork shop
mine,Mine
mineral_water_company,Mineral water company
mineral_water_wholesale,Mineral water wholesaler
mini_dealer,MINI dealer
miniature_golf_course,Miniature golf course
miniatures_store,Miniatures store
minibus_taxi_service,Minibus taxi service
mining_company,Mining company
mining_consultant,Mining consultant
mining_engineer,Mining engineer
mining_equipment,Mining equipment
ministry_of_education,Ministry of Education
mirror_shop,Mirror shop
miso_cutlet_restaurant,Miso cutlet restaurant
missing_persons_organization,Missing persons organization
mission,Mission
mitsubishi_dealer,Mitsubishi dealer
mobile_catering,Mobile caterer
mobile_disco,Mobile disco
mobile_hairdresser,Mobile hairdresser
mobile_home_dealer,Mobile home dealer
mobile_home_park,Mobile home park
mobile_home_rental_agency,Mobile home rental agency
mobile_home_supply_store,Mobile home supply store
mobile_money_agent,Mobile money agent
mobile_network_operator,Mobile network operator
mobile_phone_repair_shop,Mobile phone repair shop
mobility_equipment_supplier,Mobility equipment supplier
model_car_play_area,Model car play area
model_design_company,Model design company
model_portfolio_studio,Model portfolio studio
model_train_store,Model train store
modeling_agency,Modeling agency
modeling_school,Modeling school
modern_art_museum,Modern art museum
modern_british_restaurant,Modern British restaurant
modern_european_restaurant,Modern European restaurant
modern_french_restaurant,Modern French restaurant
modern_indian_restaurant,Modern Indian restaurant
modular_home_builder,Modular home builder
modular_home_dealer,Modular home dealer
mold_maker,Mold maker
molding_supplier,Molding supplier
momo_restaurant,Momo restaurant
monastery,Monastery
money_order_service,Money order service
money_transfer_service,Money transfer service
mongolian_barbecue_restaurant,Mongolian barbecue restaurant
monja_restaurant,Monjayaki restaurant
monogramming_service,Monogramming service
montessori_school,Montessori school
monument_maker,Monument maker
moped_dealer,Moped dealer
moravian_church,Moravian church
mordern_izakaya_restaurants,Modern izakaya restaurant
moroccan_restaurant,Moroccan restaurant
mortgage_broker,Mortgage broker
mortgage_lender,Mortgage lender
mortuary,Mortuary
mosque,Mosque
motel,Motel
motor_scooter_dealer,Motor scooter dealer
motor_scooter_repair_shop,Motor scooter repair shop
motor_vehicle_dealer,Motor vehicle dealer
motorcycle_dealer,Motorcycle dealer
motorcycle_driving_school,Motorcycle driving school
motorcycle_insurance_agency,Motorcycle insurance agency
motorcycle_parts_store,Motorcycle parts store
motorcycle_rental_agency,Motorcycle rental agency
motorcycle_repair_shop,Motorcycle repair shop
motorcycle_shop,Motorcycle shop
motoring_club,Motoring club
motorsports_store,Motorsports store
mountain_cable_car,Mountain cable car
mountain_hut,Mountain cabin
mountaineering_class,Mountaineering class
movie_rental_kiosk,Movie rental kiosk
movie_rental_store,Movie rental store
movie_studio,Movie studio
movie_theater,Movie theater
moving_and_storage_service,Moving and storage service
moving_company,Moving company
moving_supply_store,Moving supply store
mri_center,MRI center
muay_thai_boxing_gym,Muay Thai boxing gym
muffler_shop,Muffler shop
mughlai_restaurant,Mughlai restaurant
mulch_supplier,Mulch supplier
multimedia_and_electronic_book_publisher,Multimedia and electronic book publisher
municipal_administration_office,Municipal administration office
municipal_corporation,Municipal corporation
municipal_department_agricultural_development,Municipal Department Agricultural Development
municipal_department_agriculture_food_supply,Municipal department of agriculture food supply
municipal_department_civil_defense,Municipal Department Civil Defense
municipal_department_communication,Municipal Department Communication
municipal_department_finance,Municipal Department Finance
municipal_department_housing_and_urban_development,Municipal Department Housing and Urban Development
municipal_department_of_culture,Municipal Department of Culture
municipal_department_of_sports,Municipal Department of Sports
municipal_department_of_tourism,Municipal Department of Tourism
municipal_department_science_technology,Municipal Department Science Technology
municipal_department_social_defense,Municipal Department Social Defense
municipal_guard,Municipal Guard
municipal_health_department,Municipal health department
municipal_office_education,Municipal office education
municipal_social_development,Municipal Social Development
murtabak_restaurant,Murtabak restaurant
musalla,Musalla
museum,Museum
museum_of_space_history,Museum of space history
museum_of_zoology,Museum of zoology
music_box_store,Music box store
music_college,Music college
music_conservatory,Music conservatory
music_instructor,Music instructor
music_management_and_promotion,Music management and promotion
music_producer,Music producer
music_publisher,Music publisher
music_school,Music school
music_store,Music store
musical_club,Musical club
musical_instrument_manufacturer,Musical instrument manufacturer
musical_instrument_rental_service,Musical instrument rental service
musical_instrument_repair_shop,Musical instrument repair shop
musical_instrument_store,Musical instrument store
musician,Musician
mutton_barbecue_restaurant,Mutton barbecue restaurant
nail_salon,Nail salon
nanotechnology_engineer,Nanotechnology engineer
nasi_goreng_restaurant,Nasi goreng restaurant
nasi_restaurant,Nasi restaurant
nasi_uduk_restaurant,Nasi uduk restaurant
national_forest,National forest
national_health_foundation,National health foundation
national_library,National library
national_museum,National museum
national_park,National park
national_reserve,National reserve
native_american_goods_store,Native american goods store
native_american_restaurant,Native American restaurant
natural_foods_store,Natural goods store
natural_history_museum,Natural history museum
natural_rock_climbing_area,Natural rock climbing area
natural_stone_exporter,Natural stone exporter
natural_stone_supplier,Natural stone supplier
natural_stone_wholesaler,Natural stone wholesaler
nature_preserve,Nature preserve
naturopathic_practitioner,Naturopathic practitioner
naval_base,Naval base
navarraise_restaurant,Navarraise restaurant
neapolitan_restaurant,Neapolitan restaurant
needlework_shop,Needlework shop
neon_sign_shop,Neon sign shop
neonatal_physician,Neonatal physician
nepalese_restaurant,Nepalese restaurant
nephrologist,Nephrologist
netball_club,Netball club
neurologist,Neurologist
neurophysiologist,Neurophysiologist
neurosurgeon,Neurosurgeon
new_age_church,New Age church
new_england_restaurant,New England restaurant
new_us_american_restaurant,New American restaurant
new_years_tree_market,New Years tree market
new_zealand_restaurant,New Zealand restaurant
news_service,News service
newspaper_advertising_department,Newspaper advertising department
newspaper_distribution,Newspaper distribution
newspaper_publisher,Newspaper publisher
newsstand,Newsstand
nicaraguan_restaurant,Nicaraguan restaurant
night_club,Night club
night_market,Night market
nissan_dealer,Nissan dealer
non_denominational_church,Non-denominational church
non_governmental_organization,Non-governmental organization
non_profit_organization,Non-profit organization
non_smoking_holiday_home,Non smoking holiday home
non_vegetarian_restaurant,Non vegetarian restaurant
noodle_shop,Noodle shop
north_african_restaurant,North African restaurant
north_eastern_indian_restaurant,North Eastern Indian restaurant
north_indian_restaurant,North Indian restaurant
northern_italian_restaurant,Northern Italian restaurant
norwegian_restaurant,Norwegian restaurant
notaries_association,Notaries association
notary_public,Notary public
notions_store,Notions store
novelties_wholesaler,Novelties wholesaler
novelty_store,Novelty store
nuclear_engineer,Nuclear engineer
nuclear_power_company,Nuclear power company
nuclear_power_plant,Nuclear power plant
nudist_club,Nudist club
nudist_park,Nudist park
nuevo_latino_restaurant,Nuevo Latino restaurant
numerologist,Numerologist
nunnery,Convent
nurse_practitioner,Nurse practitioner
nursery_school,Nursery school
nursing_agency,Nursing agency
nursing_association,Nursing association
nursing_home,Nursing home
nursing_school,Nursing school
nut_store,Nut store
nutritionist,Nutritionist
nyonya_restaurant,Nyonya restaurant
oaxacan_restaurant,Oaxacan restaurant
obanzai_cuisine,Obanzai restaurant
observation_deck,Observation deck
observatory,Observatory
obstetrics_gynecology_clinic,Women's health clinic
occupational_health_service,Occupational health service
occupational_medical_physician,Occupational medical physician
occupational_safety_and_health,Occupational safety and health
occupational_therapist,Occupational therapist
oden_restaurant,Oden restaurant
odia_restaurant,Odia restaurant
off_road_race_track,Off-road race track
off_roading_area,Off roading area
off_track_betting_shop,Off track betting shop
offal_pot_cooking,Offal pot cooking restaurant
office_accessories_wholesaler,Office accessories wholesaler
office_equipment_rental_service,Office equipment rental service
office_equipment_repair_service,Office equipment repair service
office_equipment_supplier,Office equipment supplier
office_furniture_store,Office furniture store
office_of_vital_records,Office of Vital Records
office_refurbishment_service,Office refurbishment service
office_space_rental_agency,Office space rental agency
office_supply_store,Office supply store
office_supply_wholesaler,Office supply wholesaler
oil_and_gas_exploration_service,Oil and gas exploration service
oil_change_service,Oil change service
oil_company,Oil & natural gas company
oil_field_equipment_supplier,Oil field equipment supplier
oil_refinery,Oil refinery
oil_store,Oil store
oil_wholesaler,Oil wholesaler
oilfield,Oilfield
okonomiyaki_restaurant,Okonomiyaki restaurant
oldsmobile_dealer,Oldsmobile dealer
olive_oil_bottling_company,Olive oil bottling company
olive_oil_cooperative,Olive oil cooperative
olive_oil_manufacturer,Olive oil manufacturer
oncologist,Oncologist
onsen,Onsen
opel_dealer,Opel dealer
open_air_museum,Open air museum
open_university,Open university
opera_company,Opera company
opera_house,Opera house
ophthalmologist,Ophthalmologist
ophthalmology_clinic,Ophthalmology clinic
optical_instrument_repair_service,Optical instrument repair service
optical_products_manufacturer,Optical products manufacturer
optical_wholesaler,Optical wholesaler
optician,Optician
optometrist,Optometrist
oral_maxillofacial_surgeon,Oral and maxillofacial surgeon
oral_surgeon,Oral surgeon
orchard,Orchard
orchestra,Orchestra
orchid_farm,Orchid farm
orchid_grower,Orchid grower
organ_donation_and_tissue_bank,Organ donation and tissue bank
organic_drug_store,Organic drug store
organic_farm,Organic farm
organic_food_store,Organic food store
organic_restaurant,Organic restaurant
organic_store,Organic shop
oriental_goods_store,Oriental goods store
oriental_medicine_clinic,Oriental medicine clinic
oriental_medicine_store,Oriental medicine store
oriental_rug_store,Oriental rug store
orphan_asylum,Orphan asylum
orphanage,Orphanage
